ESTADO,DISTRITO,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
9,1,PT-MORENA,ALBERTO MARTINEZ URINCHO,ALBERTO RANGEL MORENO
9,1,PVEM,LORENZO CARRILLO GONZALEZ,JORGE GARCIA VELAZQUEZ
9,1,ELIGE,DAVID VERA ABARCA,MARIA FERNANDA REYES GALLARDO
9,1,PES,CITLALI SÁNCHEZ ACEVEDO,BRENDA NATHALY RODRÍGUEZ LORA
9,1,FXM,JORGE CRUZ GARCÍA ,MICHAEL AZHAEL ROJAS LOPEX
9,1,MOVIMIENTO CIUDADANO,ELIZABETH VAZQUEZ GARCÍA,LIDIA DE LA CRUZ MATÍNEZ
9,1,PRI-PRD,FACUNDO DOMINGO FUENTES LÓPEZ,MARIO ALFARO RESENDIZ
9,1,PAN,MIRIAM VILLANUEVA RESENDIZ,MARISOL ADRIANA RESENDIZ MARTINEZ
9,1,RSP,IVAN UBALDO AVILA MENENDEZ,EDUARDO ABEL MIER AGUILEREA
9,2,PT-MORENA,JOSE ALBERTO BENAVIDES CASTAÑEDA,CESAR OCTAVIO MUÑOZ CUEVAS
9,2,PVEM,CARLOS CASTILLO RANGEL,JAIME ORDOÑEZ GRANJA
9,2,ELIGE,FE GUADALUPE ESTRADA LEON,LIA YUNUET ROA SEGURA 
9,2,PES,ANDER CASTRO RAMOS,PAMELA BERENICE RAMIREZ MORALES
9,2,FXM,KARLA ALMAZA GARCIA,ARELY GUTIERREZ ESPAÑA
9,2,MOVIMIENTO CIUDADANO,ELDA ROSA DUARTE USCANGA,ITALIA LAURA TERRON LOPEZ
9,2,PAN-PRI-PRD,DIEGO ORLANDO GARRIDO LOPEZ,CESAR MAURICIO GARIDO LÓPEZ
9,2,RSP,JUAN PABLO AGUILERA MARTINEZ,SERGIO ANTONIO RAMÍREZ PÉREZ
9,3,PT-MORENA,NANCY MARLENE NUÑEZ RESENDIZ,LUZ MARIA LÓPEZ MULIA
9,3,PVEM,SERGIO PALACIOS TREJO,FERNANDO MAGAÑA TORRES
9,3,ELIGE,JOSÉ LUIS ZANELA SIERRA,REYNA GUADALUPE MONTES DE OCA FLORES
9,3,PES,BIBIANA CAMACHO LOPEZ,JANET CARINA ALVARADO CRUZ
9,3,FXM,RODRIGO MENÉNDEZ ROLDAN,LUISA FERNANDA LEDESMA ALPIZAR 
9,3,MOVIMIENTO CIUDADANO,KARLA SARAHI ROMERO TREJO,ERICKA ZALDIVAR PEREZ
9,3,PAN-PRI-PRD,MARIA DE LOS ANGELES PALAFOX MORALES,MARCELA VALERIA VERGARA HERNANDEZ 
9,3,RSP,MARÍA FELISA ZAMORA GARCÍA,ANAIZ SAAVEDRA ZAMORA
9,4,PT-MORENA,Nazario Norberto Sánchez,EDGAR SANCHEZ PÉREZ
9,4,PVEM,Brandon Uriel González Martínez,ALAN CAZARES GALÁN
9,4,ELIGE,KARINA YOSSLYN GONZÁLEZ LUCIANO,ABELINE MARISOL PÉREZ BALTAZAR
9,4,PES,Juan Carlos Barillas Cervantes,HUGO ROBERTO HERNANDEZ PEREZ
9,4,FXM,VANILLI RUBÉN COLIN ÁNGELES,ERNESTO ALONSO DAMIÁN
9,4,MOVIMIENTO CIUDADANO,Roberto Rebollo Vivero,DIEGO EDUARDO ALVAREZ RAMIREZ
9,4,PAN,Diana Karime Raya Govea,KARINA ISABEL REYES FLORES
9,4,PRD,Ricardo Janecarlo Lozano Reynoso,ISRAEL RAMIREZ MOSQUEDA
9,4,PRI,Ángel Gutiérrez Javier,FERNANDO GÓMEZ MIRANDA
9,4,RSP,LAURA ZARATE GONZÁLEZ,CARLA ESTHEFANY PUNTOS VARGAS
9,5,PVEM -PT-MORENA,JESUS SESMA SUAREZ,JAVIER RAMOS FRANCO
9,5,ELIGE,MARIANA EDITH BALLESTEROS HERTA,KIMBERLY RELSTAB JIMÉNEZ
9,5,PES,JOSE FRANCISCO CARMELO AUGUSTO SOSA NOREÑA,ERICK CHAVARRÍA CASTAÑEDA
9,5,FXM,JUAN PABLO CARDENAS BACA,CESAR CARLOS VALENCIA SANDOVAL
9,5,MOVIMIENTO CIUDADANO,MARIANA ZUÑIGA MARTINEZ,VICTORIA ALEJANDRA LÓPEZ GUTIERREZ
9,5,PRI-PRD,MARIANA GÓMEZ ROMÁN,LAURA MERCEDES CARRERA GARCÍA
9,5,PAN,MARÍA GABRIELA SALIDO MAGOS,VANIA YAEL GONZÁLEZ VELOZ
9,5,RSP,MARCO ANTONIO PEREZ CABARROCA,DIEGO LÓPEZ RAMÍREZ
9,5,SIN PARTIDO,JOSE LUIS SALCEDO BARRON,MIGUEL ESTRADA DOMÍNGUEZ
9,6,PT-MORENA,YURI AYALA ZUÑIGA ,SANDY HERNÁNDEZ MERCADO
